,FECHA_ENT
0,2019-09-03
1,2019-09-03
2,2019-09-03
3,2019-09-03
4,2019-09-03
5,2019-09-04
6,2019-09-04
7,2019-09-04
8,2019-09-02
9,2019-09-02
10,2019-09-03
11,2019-09-02
12,2019-09-04
13,2019-09-04
14,2019-09-04
15,2019-09-04
16,2019-09-05
17,2019-09-05
18,2019-09-05
19,2019-09-05
20,2019-09-06
21,2019-09-06
22,2019-09-06
23,2019-09-06
24,2019-09-06
25,2019-09-06
26,2019-09-09
27,2019-09-09
28,2019-09-09
29,2019-09-09
30,2019-09-09
31,2019-09-09
32,2019-09-09
33,2019-09-10
34,2019-09-10
35,2019-09-10
36,2019-09-10
37,2019-09-10
38,2019-09-10
39,2019-09-04
40,2019-09-10
41,2019-09-10
42,2019-09-10
43,2019-09-10
44,2019-09-10
45,2019-09-10
46,2019-09-10
47,2019-09-10
48,2019-09-10
49,2019-09-10
50,2019-09-11
51,2019-09-11
52,2019-09-11
53,2019-09-11
54,2019-09-11
55,2019-09-11
56,2019-09-11
57,2019-09-11
58,2019-09-11
59,2019-09-11
60,2019-09-11
61,2019-09-11
62,2019-09-11
63,2019-09-11
64,2019-09-11
65,2019-09-11
66,2019-09-12
67,2019-09-12
68,2019-09-12
69,2019-09-12
70,2019-09-12
71,2019-09-12
72,2019-09-12
73,2019-09-12
74,2019-09-12
75,2019-09-12
76,2019-09-12
77,2019-09-12
78,2019-09-12
79,2019-09-12
80,2019-09-12
81,2019-09-12
82,2019-09-12
83,2019-09-12
84,2019-09-12
85,2019-09-12
86,2019-09-13
87,2019-09-13
88,2019-09-13
89,2019-09-13
90,2019-09-13
91,2019-09-13
92,2019-09-13
93,2019-09-13
94,2019-09-13
95,2019-09-13
96,2019-09-13
97,2019-09-17
98,2019-09-17
99,2019-09-17
100,2019-09-17
101,2019-09-17
102,2019-09-17
103,2019-09-17
104,2019-09-17
105,2019-09-17
106,2019-09-17
107,2019-09-17
108,2019-09-17
109,2019-09-17
110,2019-09-17
